Performance data for cryocooler 
P1 (W)	P2 (W)	T1 (K)	T2 (K)
0.00	0.00	23.00	2.69
0.00	2.01	23.60	4.69
0.00	5.02	25.00	7.34
0.00	7.50	26.50	9.38
0.00	10.02	29.50	10.50
10.03	0.00	23.50	2.69
10.05	2.01	24.90	4.66
10.05	5.04	27.00	7.13
10.05	7.50	29.90	9.28
10.05	10.02	33.50	10.46
20.01	0.00	24.80	2.68
20.01	2.02	26.30	4.66
20.01	5.03	29.20	7.02
20.01	7.52	32.10	9.17
20.01	10.03	36.80	10.32
40.03	10.03	52.50	10.61
40.03	7.50	43.70	9.06
40.03	5.03	35.10	6.80
40.03	2.02	31.30	4.63
40.05	0.00	28.70	2.69
60.01	0.00	34.70	2.82
60.00	2.02	38.15	4.63
60.00	5.03	49.50	6.68
60.00	7.50	58.80	9.28
60.00	10.03	60.20	10.79
80.01	0.00	52.45	2.62
80.01	2.02	56.10	4.50
80.01	5.02	64.70	7.41
80.01	7.49	68.10	10.04
80.01	10.03	71.70	14.37
100.12	0.00	64.15	2.62
100.12	2.02	68.10	4.50
100.12	5.02	73.80	8.15
100.13	7.50	82.10	16.87
