Performance data for cryocooler 
P1 (W)	P2 (W)	T1 (K)	T2 (K)
0	0.00	23.00	2.69
0	2.0	23.60	4.69
0	5.0	25.00	7.34
0	7.5	26.50	9.38
0	10.0	29.50	10.50
10.1	0.00	23.50	2.69
10.1	2.0	24.90	4.66
10.1	5.0	27.00	7.13
10.1	7.5	29.90	9.28
10.1	10.0	33.50	10.46
20	0.00	24.80	2.68
20	2.0	26.30	4.66
20	5.0	29.20	7.02
20	7.5	32.10	9.17
20	10.0	36.80	10.32
40	10.0	52.50	10.61
40	7.5	43.70	9.06
40	5.0	35.10	6.80
40	2.0	31.30	4.63
40	0.00	28.70	2.69
60	0.00	34.70	2.82
60	2.0	38.15	4.63
60	5.0	49.50	6.68
60	7.5	58.80	9.28
60	10.0	60.20	10.79
80	0.00	52.45	2.62
80	2.0	56.10	4.50
80	5.0	64.70	7.41
80	7.5	68.10	10.04
80	10.0	71.70	14.37
100.1	0.00	64.15	2.62
100.1	2.0	68.10	4.50
100.1	5.0	73.80	8.15
100.1	7.5	82.10	16.87
100.1	10.0	0	0
